Date,Open,High,Low,Close,Volume
8/29/2022,30.43,32.64,29.97,32.43,4901131.73
8/30/2022,32.43,33.07,30.64,31.47,4502789.86
8/31/2022,31.47,32.96,31.18,31.49,3939540.22
9/1/2022,31.49,31.78,30.44,31.6,3324450.67
9/2/2022,31.6,32.38,30.77,31.24,3251834.15
9/3/2022,31.24,31.28,30.81,31.11,1415262.06
9/4/2022,31.11,32.19,31.03,32.16,1523749.06
9/5/2022,32.16,32.52,31.15,32.17,2294101.71
9/6/2022,32.17,33.86,30.46,30.89,4955734.88
9/7/2022,30.89,32.93,30.32,32.7,2967920.3
9/8/2022,32.7,34,32.02,33.61,3740679.48
9/9/2022,33.61,35.95,33.6,34.69,4467169.9
9/10/2022,34.69,35.42,34.29,35.06,2248530.79
9/11/2022,35.06,35.99,34.08,35.01,2375829.52
9/12/2022,35.01,38.37,34.42,37.46,5923504.29
9/13/2022,37.46,38.96,32.94,32.99,7027248.59
9/14/2022,32.99,34.34,32.71,34.12,3459539.29
9/15/2022,34.12,34.86,32.29,33.07,4107770.09
9/16/2022,33.07,33.25,31.54,32.24,3036014.19
9/17/2022,32.24,33.89,32.22,33.69,1554348.99
9/18/2022,33.69,33.99,30.87,31.1,2453159.56
9/19/2022,31.1,33.08,30.62,32.63,3758734.2
9/20/2022,32.63,32.88,31.31,31.42,3079926.81
9/21/2022,31.42,33.44,30.04,30.69,4800958.2
9/22/2022,30.69,32.86,30.59,32.42,2971806.03
9/23/2022,32.42,33.96,31.21,33.66,4031557.19
9/24/2022,33.66,34.76,33.15,33.39,3117720.63
9/25/2022,33.39,34.03,31.9,32.33,2335663.47
9/26/2022,32.33,33.95,31.88,33.88,3450053.67
9/27/2022,33.88,35.41,32.08,32.68,4957169.43
9/28/2022,32.68,33.8,31.64,33.23,4160654.58
9/29/2022,33.23,34.41,32.65,33.93,3824365
9/30/2022,33.93,35.2,32.62,33.25,4900983.57
10/1/2022,33.25,33.25,32.37,32.44,1668638.88
10/2/2022,32.44,33.02,31.91,32.06,1966178.92
10/3/2022,32.06,33.26,31.8,32.9,2530711.35
10/4/2022,32.9,34.4,32.84,34.11,3154929.7
10/5/2022,34.11,34.38,33.21,34.05,2644378.06
10/6/2022,34.05,34.5,33.27,33.36,3039589.7
10/7/2022,33.36,33.77,32.43,32.99,2406636.6
10/8/2022,32.99,33.07,32.37,32.59,1138635.51
10/9/2022,32.59,33.13,32.45,32.93,1090694.8
10/10/2022,32.93,33.45,31.93,31.95,2100371.15
10/11/2022,31.95,31.95,30.42,30.79,2880240.79
10/12/2022,30.79,31.54,30.67,31.16,1639042.35
10/13/2022,31.16,31.2,27.75,30.51,6157619.3
10/14/2022,30.51,31.98,29.64,30,3301617.74
10/15/2022,30,30.2,29.45,29.59,1339443.2
10/16/2022,29.59,30.52,29.56,30.16,1199882.76
10/17/2022,30.16,31.29,29.84,31.21,2100002.76
10/18/2022,31.21,31.48,29.74,30.14,2583935.82
10/19/2022,30.14,30.26,28.62,28.85,2560474.34
10/20/2022,28.85,29.47,27.97,28.01,3564702.97
10/21/2022,28.01,28.28,26.84,28.1,4297208.38
